season_start,season_end,season,season_short,min_games,max_games,number_of_teams
01/09/2003,31/08/2004,2003-2004,2004,82,82,29
01/09/2004,31/08/2005,2004-2005,2005,82,82,30
01/09/2005,31/08/2006,2005-2006,2006,82,82,30
01/09/2006,31/08/2007,2006-2007,2007,82,82,30
01/09/2007,31/08/2008,2007-2008,2008,82,82,30
01/09/2008,31/08/2009,2008-2009,2009,82,82,30
01/09/2009,31/08/2010,2009-2010,2010,82,82,30
01/09/2010,31/08/2011,2010-2011,2011,82,82,30
01/09/2011,31/08/2012,2011-2012,2012,66,66,30
01/09/2012,31/08/2013,2012-2013,2013,81,82,30
01/09/2013,31/08/2014,2013-2014,2014,82,82,30
01/09/2014,31/08/2015,2014-2015,2015,82,82,30
01/09/2015,31/08/2016,2015-2016,2016,82,82,30
01/09/2016,31/08/2017,2016-2017,2017,82,82,30
01/09/2017,31/08/2018,2017-2018,2018,82,82,30
01/09/2018,31/08/2019,2018-2019,2019,82,82,30
01/09/2019,30/11/2020,2019-2020,2020,63,75,30
01/12/2020,31/08/2021,2020-2021,2021,72,72,30
01/09/2021,31/08/2022,2021-2022,2022,82,82,30
01/09/2022,31/08/2023,2022-2023,2023,82,82,30
