season_start,season_end,season,season_short,min_games,max_games,number_of_teams,preseason_end,postseason_start,postseason_end
01/09/2003,31/08/2004,2003-2004,2004,82,82,29,28/10/2003,17/04/2004,15/06/2004
01/09/2004,31/08/2005,2004-2005,2005,82,82,30,02/11/2004,23/04/2005,23/06/2005
01/09/2005,31/08/2006,2005-2006,2006,82,82,30,01/11/2005,22/04/2006,20/06/2006
01/09/2006,31/08/2007,2006-2007,2007,82,82,30,31/10/2006,21/04/2007,14/06/2007
01/09/2007,31/08/2008,2007-2008,2008,82,82,30,30/10/2007,19/04/2008,17/06/2008
01/09/2008,31/08/2009,2008-2009,2009,82,82,30,28/10/2008,18/04/2009,14/06/2009
01/09/2009,31/08/2010,2009-2010,2010,82,82,30,27/10/2009,17/04/2010,17/06/2010
01/09/2010,31/08/2011,2010-2011,2011,82,82,30,26/10/2010,16/04/2011,12/06/2011
01/09/2011,31/08/2012,2011-2012,2012,66,66,30,25/12/2011,28/04/2012,21/06/2012
01/09/2012,31/08/2013,2012-2013,2013,81,82,30,30/10/2012,20/04/2013,20/06/2013
01/09/2013,31/08/2014,2013-2014,2014,82,82,30,29/10/2013,19/04/2014,15/06/2014
01/09/2014,31/08/2015,2014-2015,2015,82,82,30,28/10/2014,18/04/2015,16/06/2015
01/09/2015,31/08/2016,2015-2016,2016,82,82,30,27/10/2015,16/04/2016,19/06/2016
01/09/2016,31/08/2017,2016-2017,2017,82,82,30,25/10/2016,15/04/2017,12/06/2017
01/09/2017,31/08/2018,2017-2018,2018,82,82,30,17/10/2017,14/04/2018,08/06/2018
01/09/2018,31/08/2019,2018-2019,2019,82,82,30,16/10/2018,13/04/2019,13/06/2019
01/09/2019,30/11/2020,2019-2020,2020,63,75,30,22/10/2019,17/08/2020,11/10/2020
01/12/2020,31/08/2021,2020-2021,2021,72,72,30,22/12/2020,22/05/2021,20/07/2021
01/09/2021,31/08/2022,2021-2022,2022,82,82,30,19/10/2021,16/04/2022,16/06/2022
01/09/2022,31/08/2023,2022-2023,2023,82,82,30,18/10/2022,16/04/2023,16/06/2023
